nct_id,acronym,brief_title,is_anchor,anchor_label,overall_status,phases,study_type,enrollment,lead_sponsor,sponsor_class,elig_chars,elig_inclusion,elig_exclusion,min_age,sex,n_locations,n_officials,official_names,has_protocol,protocol_url,has_results,conditions,intervention_types,n_interventions,hr_pos,her2_neg,early_adjuvant,metastatic,in_scope,setting,quality_score,bucket
NCT04436744,,"A Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of Giredestrant Plus Palbociclib Compared With Anastrozole Plus Palbociclib for Postmenopausal Women With Estrogen Receptor-Positive and HER2-Negative Untreated Early Breast Cancer (coopERA Breast Cancer)",False,,COMPLETED,PHASE2,INTERVENTIONAL,221,Hoffmann-La Roche,INDUSTRY,3073,10,19,18 Years,FEMALE,65,1,Clinical Trials,True,https://cdn.clinicaltrials.gov/large-docs/44/NCT04436744/Prot_SAP_001.pdf,True,Early Breast Cancer,DRUG|PROCEDURE,4,False,True,True,False,False,early_adjuvant,9.5,other
NCT04588298,SERENA-3,"A Study to Investigate the Biological Effects of AZD9833 in Women With ER-positive, HER2 Negative Primary Breast Cancer",False,,COMPLETED,PHASE2,INTERVENTIONAL,135,AstraZeneca,INDUSTRY,3261,8,10,18 Years,FEMALE,12,1,John Robertson,True,https://cdn.clinicaltrials.gov/large-docs/98/NCT04588298/Prot_000.pdf,True,HER2-negative Breast Cancer,DRUG,1,True,True,False,False,False,unspecified,9.5,other
NCT00618657,,"Carboplatin+Nab-paclitaxel, Plus Trastuzumab (HER2+) or Bevacizumab (HER2-) in the Neoadjuvant Setting",False,,COMPLETED,PHASE2,INTERVENTIONAL,127,"University of California, Irvine",OTHER,1716,0,0,21 Years,FEMALE,1,1,"Rita Mehta, M.D.",True,https://cdn.clinicaltrials.gov/large-docs/57/NCT00618657/Prot_SAP_000.pdf,True,Breast Cancer|HER2-negative Breast Cancer|HER2-positive Breast Cancer|Recurrent Breast Cancer|Stage IA Breast Cancer|Stage IB Breast Cancer|Stage II Breast Cancer|Stage IIIA Breast Cancer|Stage IIIB Breast Cancer|Stage IIIC Breast Cancer,DRUG|PROCEDURE,6,False,True,True,False,False,early_adjuvant,9.0,other
NCT04915755,ZEST,Efficacy and Safety Comparison of Niraparib to Placebo in Participants With Human Epidermal Growth Factor 2 Negative (HER2-) Breast Cancer Susceptibility Gene Mutation (BRCAmut) or Triple-Negative Breast Cancer (TNBC) With Molecular Disease,False,,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,40,GlaxoSmithKline,INDUSTRY,2765,7,11,18 Years,ALL,198,1,GSK Clinical Trials,True,https://cdn.clinicaltrials.gov/large-docs/55/NCT04915755/Prot_000.pdf,True,"Neoplasms, Breast",DRUG,2,True,True,True,False,True,early_adjuvant,9.0,gold
NCT02712723,FELINE,"Letrozole Plus Ribociclib or Placebo as Neo-adjuvant Therapy in ER-positive, HER2-negative Early Breast Cancer",False,,ACTIVE_NOT_RECRUITING,PHASE2,INTERVENTIONAL,121,Qamar Khan,OTHER,1245,7,9,18 Years,FEMALE,13,1,"Qamar Khan, MD",True,https://cdn.clinicaltrials.gov/large-docs/23/NCT02712723/Prot_SAP_000.pdf,True,Breast Cancer,DRUG,3,True,True,True,False,True,early_adjuvant,8.5,gold
NCT03078751,EarLEE-1,Adjuvant Ribociclib With Endocrine Therapy in Hormone Receptor+/HER2- High Risk Early Breast Cancer,False,,COMPLETED,PHASE2,INTERVENTIONAL,54,Novartis Pharmaceuticals,INDUSTRY,3211,11,10,18 Years,ALL,33,1,Novartis Pharmaceuticals,True,https://cdn.clinicaltrials.gov/large-docs/51/NCT03078751/Prot_001.pdf,True,Breast Cancer,DRUG,3,False,True,True,False,False,early_adjuvant,8.5,other
NCT06001762,,TRADE: Dose Escalation Tolerability of Abemaciclib in HR+ HER2- Early Stage Breast Cancer,False,,ACTIVE_NOT_RECRUITING,PHASE2,INTERVENTIONAL,90,Dana-Farber Cancer Institute,OTHER,7171,24,21,18 Years,FEMALE,12,1,"Erica Mayer, MD, MPH",True,https://cdn.clinicaltrials.gov/large-docs/62/NCT06001762/Prot_SAP_000.pdf,True,Breast Cancer|Early-stage Breast Cancer|High Risk Breast Carcinoma,DRUG,6,True,True,True,False,True,early_adjuvant,8.5,gold
NCT01723774,,PD 0332991 and Anastrozole for Stage 2 or 3 Estrogen Receptor Positive and HER2 Negative Breast Cancer,False,,ACTIVE_NOT_RECRUITING,PHASE2,INTERVENTIONAL,84,Washington University School of Medicine,OTHER,14382,13,102,18 Years,FEMALE,4,1,"Cynthia X Ma, M.D., Ph.D.",True,https://cdn.clinicaltrials.gov/large-docs/74/NCT01723774/Prot_SAP_001.pdf,True,Breast Neoplasms,DRUG|PROCEDURE,5,True,True,True,False,True,early_adjuvant,8.0,gold
NCT02957968,,Neoadjuvant Pembrolizumab + Decitabine Followed by Std Neoadj Chemo for Locally Advanced HER2- Breast Ca,False,,ACTIVE_NOT_RECRUITING,PHASE2,INTERVENTIONAL,46,Virginia Commonwealth University,OTHER,8275,39,32,18 Years,ALL,4,1,"Harry D. Bear, M.D., Ph.D.",True,https://cdn.clinicaltrials.gov/large-docs/68/NCT02957968/Prot_SAP_002.pdf,True,Breast Adenocarcinoma|Estrogen Receptor- Negative Breast Cancer|Estrogen Receptor-positive Breast Cancer|HER2/Neu Negative|Invasive Breast Carcinoma|Progesterone Receptor Negative|Progesterone Receptor Positive Tumor|Stage II Breast Cancer|Stage IIA Breast Cancer|Stage IIB Breast Cancer|Stage IIIA Breast Cancer|Stage IIIB Breast Cancer|Triple-negative Breast Carcinoma,DRUG,6,False,True,True,False,False,early_adjuvant,8.0,other
NCT03213041,,Pembrolizumab and Carboplatin in Treating Patients With Circulating Tumor Cells Positive Metastatic Breast Cancer,False,,COMPLETED,PHASE2,INTERVENTIONAL,12,Northwestern University,OTHER,8047,27,22,18 Years,ALL,1,1,"Massimo Cristofanilli, MD",True,https://cdn.clinicaltrials.gov/large-docs/41/NCT03213041/Prot_SAP_000.pdf,True,Estrogen Receptor Negative|Estrogen Receptor Positive|HER2/Neu Negative|Progesterone Receptor Negative|Recurrent Breast Carcinoma|Stage IV Breast Cancer|Triple-Negative Breast Carcinoma,BIOLOGICAL|DRUG|OTHER,3,True,True,True,True,True,mixed,8.0,gold
NCT03366844,,Breast Cancer Study of Preoperative Pembrolizumab + Radiation,False,,ACTIVE_NOT_RECRUITING,PHASE1|PHASE2,INTERVENTIONAL,66,Stephen Shiao,OTHER,7068,19,23,18 Years,FEMALE,1,1,"Stephen Shiao, MD, PHD",True,https://cdn.clinicaltrials.gov/large-docs/44/NCT03366844/Prot_SAP_002.pdf,True,Breast Cancer,DRUG|RADIATION,2,True,True,True,False,True,early_adjuvant,8.0,gold
NCT03747042,,Letrozole in Post-Menopausal Patients With Operable Hormone-Sensitive Breast Cancer,False,,COMPLETED,PHASE2,INTERVENTIONAL,61,University of Texas Southwestern Medical Center,OTHER,3258,0,12,18 Years,FEMALE,1,1,"Nisha Unni, MD",True,https://cdn.clinicaltrials.gov/large-docs/42/NCT03747042/Prot_SAP_000.pdf,True,Breast Cancer Female,DRUG,1,True,True,True,False,True,early_adjuvant,8.0,gold
NCT03774472,,"Hydroxychloroquine, Palbociclib, and Letrozole Before Surgery in Treating Patients With Estrogen Receptor Positive, HER2 Negative Breast Cancer",False,,COMPLETED,PHASE1|PHASE2,INTERVENTIONAL,15,M.D. Anderson Cancer Center,OTHER,3092,16,11,18 Years,FEMALE,1,1,Debasish Tripathy,True,https://cdn.clinicaltrials.gov/large-docs/72/NCT03774472/Prot_SAP_000.pdf,True,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage IA Breast Cancer AJCC v8|Anatomic Stage IB Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage IIA Breast Cancer AJCC v8|Anatomic Stage IIB Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|Anatomic Stage IIIA Breast Cancer AJCC v8|Anatomic Stage IIIB Breast Cancer AJCC v8|Anatomic Stage IIIC Breast Cancer AJCC v8|Anatomic Stage IV Breast Cancer AJCC v8|Prognostic Stage I Breast Cancer AJCC v8|Prognostic Stage IA Breast Cancer AJCC v8|Prognostic Stage IB Breast Cancer AJCC v8|Prognostic Stage IIA Breast Cancer AJCC v8|Prognostic Stage IIB Breast Cancer AJCC v8|Prognostic Stage III Breast Cancer AJCC v8|Prognostic Stage IIIA Breast Cancer AJCC v8|Prognostic Stage IIIB Breast Cancer AJCC v8|Prognostic Stage IIIC Breast Cancer AJCC v8|Prognostic Stage IV Breast Cancer AJCC v8,DRUG,3,True,True,True,True,True,mixed,8.0,gold
NCT03916744,,"A Study of Giredestrant (GDC-9545) in Postmenopausal Women With Stage I-III Operable, Estrogen Receptor-Positive Breast Cancer",False,,COMPLETED,PHASE1,INTERVENTIONAL,75,"Genentech, Inc.",INDUSTRY,3737,8,24,18 Years,FEMALE,15,1,Clinical Trials,True,https://cdn.clinicaltrials.gov/large-docs/44/NCT03916744/Prot_SAP_000.pdf,True,Breast Cancer,DRUG|PROCEDURE,2,True,True,True,False,True,early_adjuvant,8.0,other
NCT04251169,TATEN,Pembrolizumab + Paclitaxel in HR+/HER2- Non-luminal (by PAM50) Advanced Breast Cancer After CDK4/6 Inhibitor Progression,False,,TERMINATED,PHASE2,INTERVENTIONAL,20,SOLTI Breast Cancer Research Group,OTHER,9520,6,12,18 Years,ALL,7,2,"Aleix Prat, MD, PhD|Eva Ciruelos, MD, PhD",True,https://cdn.clinicaltrials.gov/large-docs/69/NCT04251169/Prot_000.pdf,True,Metastatic Breast Cancer,DRUG,2,True,True,True,True,True,mixed,8.0,gold
NCT03197389,,Effect of Pembrolizumab (Keytruda®) on Biomarkers in Early Breast Cancer.,False,,COMPLETED,EARLY_PHASE1,INTERVENTIONAL,54,Universitaire Ziekenhuizen KU Leuven,OTHER,5917,3,10,18 Years,ALL,1,1,"Ann Smeets, Prof. Dr.",True,https://cdn.clinicaltrials.gov/large-docs/89/NCT03197389/Prot_SAP_000.pdf,True,Breast Cancer|Triple Negative Breast Cancer|Hormone Receptor Negative Neoplasm,DRUG,1,True,True,True,False,True,early_adjuvant,7.5,other
NCT00070564,,"S0221 Adjuvant Doxorubicin, Cyclophosphamide, and Paclitaxel in Treating Patients With Breast Cancer",False,,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,3294,SWOG Cancer Research Network,NETWORK,3559,0,0,18 Years,ALL,542,2,"George Thomas Budd, MD|Halle C Moore, MD",False,,True,Breast Cancer,BIOLOGICAL|DRUG,5,True,False,True,False,False,early_adjuvant,7.0,other
NCT00073528,,Study Comparing Lapatinib (GW572016) And Letrozole Versus Letrozole In Subjects With Advanced Or Metastatic Breast Cancer,False,,COMPLETED,PHASE3,INTERVENTIONAL,1286,Novartis Pharmaceuticals,INDUSTRY,2146,2,0,18 Years,FEMALE,278,1,Novartis Pharmaceuticals,False,,True,Breast Neoplasms,DRUG,3,True,False,False,True,False,metastatic,7.0,broad
NCT00129935,,EC Followed Docetaxel Versus ET Followed Capecitabine as Adjuvant Chemotherapy for Node Positive Operable Breast Cancer,False,,COMPLETED,PHASE3,INTERVENTIONAL,1384,Spanish Breast Cancer Research Group,OTHER,4716,17,20,18 Years,FEMALE,58,1,Study Director,False,,True,Breast Cancer,DRUG,4,True,True,True,False,True,early_adjuvant,7.0,broad
NCT04060862,IPATunity150,A Study of Ipatasertib Plus Palbociclib and Fulvestrant Versus Placebo Plus Palbociclib and Fulvestrant in Hormone Receptor Positive and HER2 Negative Locally Advanced Unresectable or Metastatic Breast Cancer,False,,TERMINATED,PHASE1,INTERVENTIONAL,20,Hoffmann-La Roche,INDUSTRY,1520,6,8,18 Years,ALL,20,0,,True,https://cdn.clinicaltrials.gov/large-docs/62/NCT04060862/Prot_SAP_000.pdf,True,Breast Cancer,DRUG,4,True,True,True,True,True,mixed,7.0,other
NCT04647487,EMBER-2,A Study of LY3484356 in Women With Breast Cancer Before Having Surgery,False,,COMPLETED,PHASE1,INTERVENTIONAL,87,Eli Lilly and Company,INDUSTRY,1424,6,11,18 Years,FEMALE,19,1,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",True,https://cdn.clinicaltrials.gov/large-docs/87/NCT04647487/Prot_000.pdf,True,Breast Cancer,DRUG,1,True,True,True,False,True,early_adjuvant,7.0,other
NCT05163106,NEOLETRIB,Neoadjuvant Treatment of Locally-advanced Breast Cancer Patients With Ribociclib and Letrozole,False,,COMPLETED,PHASE2,INTERVENTIONAL,85,"University Hospital, Akershus",OTHER,6495,8,19,18 Years,FEMALE,1,1,"Jürgen Geisler, MD, PhD",True,https://cdn.clinicaltrials.gov/large-docs/06/NCT05163106/Prot_SAP_000.pdf,False,Breast Cancer|HER2-negative Breast Cancer|ER-positive Breast Cancer|Locally Advanced Breast Cancer|Luminal A Breast Cancer|Luminal B Breast Cancer,DRUG,2,True,True,True,True,True,mixed,7.0,gold
NCT05558722,ACNTBC,Anlotinib Combined With Chemotherapy and Neoadjuvant Therapy for Hormone Receptor-positive HER-2 Negative Breast Cancer,False,,ACTIVE_NOT_RECRUITING,PHASE2,INTERVENTIONAL,31,Xijing Hospital,OTHER,1434,4,4,18 Years,FEMALE,1,1,"Ting Wang, PhD",True,https://cdn.clinicaltrials.gov/large-docs/22/NCT05558722/Prot_000.pdf,True,Breast Cancer Stage II,DRUG,1,False,True,True,False,False,early_adjuvant,7.0,other
NCT00121992,,"Docetaxel, Doxorubicin (A), Cyclophosphamide (C) (TAC) vs 5-Fluorouracil, A, C (5FAC) Breast Cancer Adjuvant Treatment",False,,COMPLETED,PHASE3,INTERVENTIONAL,1060,Spanish Breast Cancer Research Group,OTHER,2272,11,19,18 Years,FEMALE,1,1,Study Director,False,,True,Breast Neoplasms,DRUG,4,False,False,True,False,False,early_adjuvant,6.5,other
NCT05447910,,"Analysis of Letrozole in Patients With Operable Hormone Receptor Positive, HER2 Negative Breast Cancer",False,,TERMINATED,,OBSERVATIONAL,21,Mayo Clinic,OTHER,1653,5,4,18 Years,FEMALE,1,1,"Saranya Chumsri, M.D.",True,https://cdn.clinicaltrials.gov/large-docs/10/NCT05447910/Prot_SAP_000.pdf,False,Breast Adenocarcinoma|Invasive Breast Carcinoma|Resectable Breast Carcinoma,PROCEDURE,1,True,True,True,False,True,early_adjuvant,6.5,other
NCT06307457,,A Study of HR+/HER2- Metastatic Breast Cancer Patients Treated With Palbociclib Together With an Aromatase Inhibitor From 2017 to 2023 in Denmark.,False,,COMPLETED,,OBSERVATIONAL,604,Pfizer,INDUSTRY,377,4,1,,ALL,1,1,Pfizer CT.gov Call Center,True,https://cdn.clinicaltrials.gov/large-docs/57/NCT06307457/Prot_000.pdf,True,Breast Cancer,DRUG,1,True,True,False,True,False,metastatic,6.5,other
NCT00546156,,Preoperative Dose-dense Doxorubicin and Cyclophosphamide Followed by Paclitaxel With Bevacizumab in Operable Breast Cancer,False,,COMPLETED,PHASE2,INTERVENTIONAL,104,"Ian E. Krop, MD, PhD",OTHER,2529,11,21,18 Years,ALL,4,1,"Ian Krop, MD, PhD",False,,True,Breast Cancer,DRUG,4,True,True,True,False,True,early_adjuvant,6.0,broad
NCT01564056,ASTER 70s,Adjuvant Systemic Treatment for (ER)-Positive HER2-negative Breast Carcinoma in Women Over 70 According to Genomic Grade (GG): Chemotherapy + Endocrine Treatment Versus Endocrine Treatment,False,,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,1989,UNICANCER,OTHER,1978,14,9,70 Years,FEMALE,84,1,Etienne Brain,False,,False,Breast Cancer,DRUG,2,False,True,True,False,False,early_adjuvant,6.0,other
NCT01626222,MACS2096,"4EVER - Efficacy, Safety, Health Economics, Translational Research of Postmenopausal Women With Estrogen Receptor Positive Locally Advanced or Metastatic Breast Cancer",False,,COMPLETED,PHASE3,INTERVENTIONAL,301,Novartis Pharmaceuticals,INDUSTRY,1967,0,0,18 Years,FEMALE,84,1,Novartis Pharmaceuticals,False,,False,Metastatic Breast Cancer,DRUG,2,True,True,False,True,False,metastatic,6.0,broad
NCT01953588,,Fulvestrant and/or Anastrozole in Treating Postmenopausal Patients With Stage II-III Breast Cancer Undergoing Surgery,False,,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,1473,Alliance for Clinical Trials in Oncology,OTHER,3884,11,1,18 Years,FEMALE,860,1,"Cynthia Ma, MD, PhD",False,,False,Estrogen Receptor-positive Breast Cancer|HER2-negative Breast Cancer|Invasive Ductal Breast Carcinoma|Invasive Lobular Breast Carcinoma|Recurrent Breast Cancer|Stage II Breast Cancer|Stage IIIA Breast Cancer|Stage IIIB Breast Cancer|Stage IIIC Breast Cancer,DRUG,2,True,True,True,False,True,early_adjuvant,6.0,broad
NCT03326674,CONTESSA,"Tesetaxel Plus Reduced Dose of Capecitabine vs. Capecitabine in HER2 Negative, HR Positive, LA/MBC",False,,TERMINATED,PHASE3,INTERVENTIONAL,685,"Odonate Therapeutics, Inc.",INDUSTRY,8180,31,9,18 Years,ALL,207,1,"Joseph O'Connell, MD",False,,False,Breast Cancer,DRUG,2,True,True,True,True,True,mixed,6.0,broad
NCT03701334,NATALEE,A Trial to Evaluate Efficacy and Safety of Ribociclib With Endocrine Therapy as Adjuvant Treatment in Patients With HR+/HER2- Early Breast Cancer,False,,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,5101,Novartis Pharmaceuticals,INDUSTRY,15182,47,20,18 Years,ALL,387,1,Novartis Pharmaceuticals,False,,False,Early Breast Cancer,DRUG|OTHER,2,True,True,True,False,True,early_adjuvant,6.0,broad
NCT03820830,POLAR,Palbociclib for HR Positive / HER2-negative Isolated Locoregional Recurrence of Breast Cancer,False,,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,405,ETOP IBCSG Partners Foundation,NETWORK,3431,5,5,18 Years,ALL,53,1,"Elisabetta Munzone, MD",False,,False,Breast Cancer Recurrent,DRUG,2,True,True,True,False,True,early_adjuvant,6.0,broad
NCT03969121,,"Neoadjuvant Hormonal Therapy Plus Palbociclib in Operable, Hormone Sensitive and HER2-Negative Primary Breast Cancer",False,,COMPLETED,PHASE3,INTERVENTIONAL,141,Kyoto Breast Cancer Research Network,OTHER,5469,2,15,18 Years,FEMALE,25,3,"Masakazu Toi, MD,PhD|Louis WC Chow, MD,PhD|Takayuki Ueno, MD,PhD",False,,False,Breast Cancer Female|Hormone Receptor Positive Malignant Neoplasm of Breast,DRUG,2,True,True,True,False,True,early_adjuvant,6.0,broad
NCT04055493,ADAPTcycle,"Adj. Marker-adjusted Personalized Therapy Comparing ET+Ribociclib vs Chemotherapy in Intermediate Risk, HR+/HER2- EBC",False,,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,1684,West German Study Group,OTHER,9894,26,29,18 Years,FEMALE,86,1,"Nadia Harbeck, Prof. Dr.",False,,False,Breast Cancer Female,DRUG,1,True,True,True,False,True,early_adjuvant,6.0,broad
NCT04565054,ADAPTlate,"Adjuvant Therapy With Abemaciclib + SOC ET vs. SOC ET in Clinical or Genomic High Risk, HR+/HER2- EBC",False,,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,1260,West German Study Group,OTHER,8116,27,7,18 Years,FEMALE,85,1,"Oleg Gluz, PD Dr. med.",False,,False,Breast Cancer Female,DRUG,1,True,True,True,False,True,early_adjuvant,6.0,broad
NCT04595565,SASCIA,Sacituzumab Govitecan in Primary HER2-negative Breast Cancer,False,,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,1332,GBG Forschungs GmbH,OTHER,10051,4,35,18 Years,ALL,163,1,"Frederik Marmé, MD, Prof.",False,,False,HER2-negative Breast Cancer|Triple Negative Breast Cancer,DRUG,4,True,True,True,False,True,early_adjuvant,6.0,broad
NCT04906395,OVELIA,Ovarian Suppression Evaluating Subcutaneous Leuprolide Acetate in Breast Cancer,False,,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,250,Tolmar Inc.,INDUSTRY,4998,3,14,18 Years,ALL,59,1,E P Hamilton,False,,False,Breast Cancer,DRUG,5,True,True,True,False,True,early_adjuvant,6.0,broad
NCT04961996,,"A Study Evaluating the Efficacy and Safety of Adjuvant Giredestrant Compared With Physician's Choice of Adjuvant Endocrine Monotherapy in Participants With Estrogen Receptor-Positive, HER2-Negative Early Breast Cancer (lidERA Breast Cancer)",False,,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,4170,Hoffmann-La Roche,INDUSTRY,5089,11,18,18 Years,ALL,622,1,Clinical Trials,False,,False,Early Breast Cancer,DRUG,3,False,True,True,False,False,early_adjuvant,6.0,other
NCT05306340,,"A Study Evaluating the Efficacy and Safety of Giredestrant Plus Everolimus Compared With the Physician's Choice of Endocrine Therapy Plus Everolimus in Participants With Estrogen Receptor-Positive, HER2-Negative, Locally Advanced or Metastatic Breast Cancer (evERA Breast Cancer)",False,,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,373,"Genentech, Inc.",INDUSTRY,4271,2,9,18 Years,ALL,136,1,Clinical Trials,False,,False,"Estrogen Receptor (ER)-Positive, HER2-negative, Locally Advanced or Metastatic Breast Cancer",DRUG,7,True,True,True,True,True,mixed,6.0,broad
NCT05827081,Adjuvant WIDER,Phase IIIb Study of Ribociclib + ET in Early Breast Cancer,False,,RECRUITING,PHASE3,INTERVENTIONAL,1400,Novartis Pharmaceuticals,INDUSTRY,3300,16,6,18 Years,ALL,229,1,Novartis Pharmaceuticals,False,,False,Early Breast Cancer,DRUG,6,True,True,True,False,True,early_adjuvant,6.0,demo
